,player_name,height (in),pts,reb,ast,college,country,team,Height Range
179,Derrick Walton Jr.,73.0,1.8,1.0,1.0,Michigan,USA,MIA,"6'1"" - 6'3"""
180,Derrick White,76.0,6.550000000000001,2.6,2.2,Colorado,USA,SAS,"6'4"" - 6'6"""
181,Derrick Williams,80.0,3.55,1.55,0.3,Arizona,USA,CLE,"6'7"" - 6'9"""
182,Devin Booker,78.0,24.53333333333333,3.9333333333333336,4.966666666666666,Kentucky,USA,PHX,"6'4"" - 6'6"""
183,Devin Harris,75.0,7.133333333333333,1.8,2.0,Wisconsin,USA,DEN,"6'1"" - 6'3"""
184,Devin Robinson,80.0,4.35,3.95,0.45,Florida,USA,WAS,"6'7"" - 6'9"""
185,Devonte' Graham,74.0,4.7,1.4,2.6,Kansas,USA,CHA,"6'1"" - 6'3"""
186,Dewayne Dedmon,84.0,8.633333333333333,7.3,1.1666666666666667,Southern California,USA,SAS,"6'10"" - 7'"
187,Deyonta Davis,82.66666666666667,3.8000000000000003,3.233333333333333,0.4333333333333333,Michigan State,USA,MEM,"6'10"" - 7'"
188,Diamond Stone,83.0,1.4,0.9,0.0,Maryland,USA,LAC,"6'10"" - 7'"
189,Dillon Brooks,78.0,9.25,2.4,1.25,Oregon,Canada,MEM,"6'4"" - 6'6"""
190,Dion Waiters,76.0,14.033333333333333,2.8333333333333335,3.633333333333333,Syracuse,USA,MIA,"6'4"" - 6'6"""
191,Dirk Nowitzki,84.0,11.166666666666666,5.1000000000000005,1.2666666666666666,None,Germany,DAL,"6'10"" - 7'"
192,Domantas Sabonis,82.66666666666667,10.533333333333333,6.866666666666667,1.9666666666666668,Gonzaga,Lithuania,IND,"6'10"" - 7'"
193,Donatas Motiejunas,84.0,3.2,2.0,0.6,None,Lithuania,SAS,"6'10"" - 7'"
194,Donovan Mitchell,75.0,22.15,3.9,3.95,Louisville,USA,UTA,"6'1"" - 6'3"""
195,Donte DiVincenzo,76.0,4.9,2.4,1.1,Villanova,USA,MIL,"6'4"" - 6'6"""
196,Donte Grantham,80.0,0.0,0.0,0.0,Clemson,USA,OKC,"6'7"" - 6'9"""
197,Dorian Finney-Smith,80.0,5.8999999999999995,3.7000000000000006,1.0666666666666667,Florida,USA,DAL,"6'7"" - 6'9"""
198,Doug McDermott,80.0,8.033333333333333,2.1999999999999997,0.9333333333333332,Creighton,USA,DAL,"6'7"" - 6'9"""
199,Dragan Bender,85.0,4.966666666666667,3.6,1.0999999999999999,None,Croatia,PHX,> 7ft
200,Draymond Green,79.0,9.533333333333333,7.599999999999999,7.066666666666666,Michigan State,USA,GSW,"6'7"" - 6'9"""
201,Drew Eubanks,82.0,1.8,1.5,0.3,None,USA,SAS,"6'10"" - 7'"
202,Duncan Robinson,80.0,3.3,1.3,0.3,Michigan,USA,MIA,"6'7"" - 6'9"""
203,Dusty Hannahs,76.0,4.0,0.5,2.5,Arkansas,USA,MEM,"6'4"" - 6'6"""
204,Dwayne Bacon,79.0,5.3,2.2,0.9,Florida State,USA,CHA,"6'7"" - 6'9"""
205,Dwight Buycks,75.0,7.4,1.4,2.0,Marquette,USA,DET,"6'1"" - 6'3"""
206,Dwight Howard,83.0,14.300000000000002,11.466666666666667,1.0333333333333334,None,USA,ATL,"6'10"" - 7'"
207,Dwight Powell,83.0,8.6,4.966666666666666,1.0999999999999999,Stanford,Canada,DAL,"6'10"" - 7'"
208,Dwyane Wade,76.0,14.9,4.1000000000000005,3.7999999999999994,Marquette,USA,MIA,"6'4"" - 6'6"""
209,Dzanan Musa,81.0,2.1,0.6,0.2,None,Bosnia and Herzegovina,BKN,"6'7"" - 6'9"""
210,E'Twaun Moore,76.0,11.333333333333334,2.466666666666667,2.1333333333333333,Purdue,USA,NOP,"6'4"" - 6'6"""
211,Ed Davis,82.0,5.133333333333333,7.099999999999999,0.6333333333333334,North Carolina,USA,POR,"6'10"" - 7'"
212,Edmond Sumner,77.5,2.45,1.0,0.2,Xavier,USA,IND,"6'4"" - 6'6"""
213,Edy Tavares,87.0,4.0,5.5,0.5,None,Cabo Verde,CLE,> 7ft
214,Ekpe Udoh,82.0,2.45,2.1,0.65,Baylor,USA,UTA,"6'10"" - 7'"
215,Elfrid Payton,76.0,12.033333333333331,4.733333333333333,6.766666666666667,Louisana-Lafayette,USA,NOP,"6'4"" - 6'6"""
216,Elie Okobo,75.0,5.7,1.8,2.4,None,France,PHX,"6'1"" - 6'3"""
217,Elijah Millsap,79.0,1.5,3.0,0.5,Alabama-Birmingham,USA,PHX,"6'7"" - 6'9"""
218,Emanuel Terry,81.0,3.3,2.3,0.7,None,USA,MIA,"6'7"" - 6'9"""
219,Emeka Okafor,82.0,4.4,4.6,0.3,Connecticut,USA,NOP,"6'10"" - 7'"
220,Emmanuel Mudiay,77.0,11.466666666666669,2.9666666666666663,3.6666666666666665,None,Democratic Republic of the Congo,DEN,"6'4"" - 6'6"""
221,Enes Kanter,83.0,14.033333333333331,9.166666666666666,1.366666666666667, ,Turkey,POR,"6'10"" - 7'"
222,Eric Bledsoe,73.0,18.233333333333334,4.3999999999999995,5.6000000000000005,Kentucky,USA,MIL,"6'1"" - 6'3"""
223,Eric Gordon,76.0,16.8,2.466666666666667,2.1999999999999997,Indiana,USA,HOU,"6'4"" - 6'6"""
224,Eric Moreland,82.0,1.75,4.05,1.0,Oregon State,USA,DET,"6'10"" - 7'"
225,Erik McCree,80.0,0.0,0.3,0.0,Louisiana Tech,USA,UTA,"6'7"" - 6'9"""
226,Ersan Ilyasova,82.0,10.266666666666666,5.433333333333334,1.2666666666666666,None,Turkey,ATL,"6'10"" - 7'"
227,Evan Fournier,79.0,16.7,3.1666666666666665,3.1666666666666665,None,France,ORL,"6'7"" - 6'9"""
228,Evan Turner,79.0,8.0,3.8000000000000003,3.1,Ohio State,USA,POR,"6'7"" - 6'9"""
229,Frank Jackson,75.0,8.1,2.2,1.1,Duke,USA,NOP,"6'1"" - 6'3"""
230,Frank Kaminsky,84.0,10.466666666666667,3.8666666666666667,1.7,Wisconsin,USA,CHA,"6'10"" - 7'"
231,Frank Mason,71.0,6.5,1.8,2.5,Kansas,USA,SAC,<= 6ft
232,Frank Ntilikina,77.5,5.800000000000001,2.15,3.0,None,France,NYK,"6'4"" - 6'6"""
233,Fred VanVleet,72.0,7.5,2.033333333333333,2.966666666666667,Wichita State,USA,TOR,<= 6ft
234,Furkan Korkmaz,79.0,3.7,1.5,0.7000000000000001,None,Turkey,PHI,"6'7"" - 6'9"""
235,Garrett Temple,78.0,8.0,2.6666666666666665,1.9666666666666668,Louisiana State,USA,SAC,"6'4"" - 6'6"""
236,Gary Clark,80.0,2.9,2.3,0.4,None,USA,HOU,"6'7"" - 6'9"""
237,Gary Harris,76.0,15.1,2.8333333333333335,2.6666666666666665,Michigan State,USA,DEN,"6'4"" - 6'6"""
238,Gary Neal,76.0,2.0,0.5,0.5,Towson,USA,ATL,"6'4"" - 6'6"""
239,Gary Payton II,75.0,3.3333333333333335,1.5333333333333332,1.4666666666666668,Oregon State,USA,WAS,"6'1"" - 6'3"""
240,Gary Trent Jr.,78.0,2.7,0.7,0.3,None,USA,POR,"6'4"" - 6'6"""
241,George Hill,75.0,11.5,2.8666666666666667,3.1,None,USA,MIL,"6'1"" - 6'3"""
