,player_name,height (in),pts,reb,ast,college,country,team,2020-21
531,Mike Conley,73.0,19.566666666666666,3.0666666666666664,5.6000000000000005,Ohio State,USA,MEM,"$34,504,132 "
535,Mike Muscala,83.0,6.933333333333334,3.8333333333333335,1.2,Bucknell,USA,ATL,"$2,283,034 "
536,Mike Scott,80.0,5.7,2.966666666666667,0.9333333333333335,Virginia,USA,WAS,"$5,005,350 "
538,Miles Bridges,79.0,7.5,4.0,1.2,Michigan State,USA,CHA,"$3,934,320 "
545,Mitchell Robinson,85.0,7.3,6.4,0.6,None,USA,NYK,"$1,663,861 "
546,Mo Bamba,84.0,6.2,5.0,0.8,University of Texas at Austin,USA,ORL,"$5,969,040 "
547,Monta Ellis,75.0,8.5,2.8,3.2,None,USA,IND,"$2,245,400 "
548,Monte Morris,75.0,6.85,1.5499999999999998,2.95,Iowa State,USA,DEN,"$1,663,861 "
549,Montrezl Harrell,80.0,12.233333333333334,4.766666666666667,1.3666666666666665,Louisville,USA,LAC,"$9,258,000 "
550,Moritz Wagner,83.0,4.8,2.0,0.6,Michigan,Germany,LAL,"$2,161,920 "
552,Myles Turner,83.0,13.5,6.966666666666666,1.4000000000000001,Texas,USA,IND,"$18,000,000 "
555,Nemanja Bjelica,82.0,7.533333333333334,4.566666666666666,1.4666666666666668,None,Serbia,MIN,"$7,150,000 "
557,Nerlens Noel,83.0,6.0,5.199999999999999,0.7666666666666666,Kentucky,USA,DAL,"$5,000,000 "
560,Nicolas Batum,80.0,12.0,5.3999999999999995,4.9,None,France,CHA,"$11,608,231 "
569,Noah Vonleh,81.0,5.900000000000001,6.266666666666667,0.9666666666666667,Indiana,USA,NYK,"$263,995 "
570,Norman Powell,76.0,7.5,2.066666666666667,1.3,UCLA,USA,TOR,"$10,865,952 "
